Sede,Conjunto Edificaciones,Area construida o utilizada (m²),Uso,Espacio cubierto/descubierto,Año costrucción (más antiguo),Año costrucción (más reciente)
Sede Tunja,EDIFICIO CENTRAL,14900.00,Actividades docentes, administrativas e investigación,Cubierto,1939,1978
Sede Tunja,EDIFICIO DE LABORATORIOS,5177.19,Actividades docentes, administrativas e investigación,Cubierto,1943,2004
Sede Tunja,EDIFICIO JULIUS SIEBER,2528.64,Actividades docentes, administrativas e investigación,Cubierto,1948,1948
Sede Tunja,BIENESTAR UNIVERSITARIO (CONSULTORIOS Y OFICINAS),984.98,Actividades deportivas,bienestar y otras,Cubierto,1948,1948
Sede Tunja,GIMNASIO ARCHIVO, SERV.GENERALES( ANT. RESTAURANTE),1093.00,Actividades deportivas,bienestar y otras,Cubierto,1948,1948
Sede Tunja,EDIFICIO SEDE FAC. DE DERECHO (ENFERMERIA),3758.51,Actividades docentes, administrativas e investigación,Cubierto,1943,1997
Sede Tunja,INVERNADERO U.P.T.C.,273.00,Actividades docentes, administrativas e investigación,Cubierto,1973,1973
Sede Tunja,TALLERES Y DEPOSITOS SECTOR CARPINTERIA,437.72,Actividades docentes, administrativas e investigación,Cubierto,1958,1958
Sede Tunja,GIMNASIO Y COLISEO CUBIERTO,2450.87,Actividades deportivas,bienestar y otras,Cubierto,1980,1993
Sede Tunja,CASAS BARRIO LA COLINA (40),4350.00,Actividades deportivas,bienestar y otras,Cubierto,1975,1975
Sede Tunja,CASAS BARRIO MALDONADO (10),1624.00,Actividades deportivas,bienestar y otras,Cubierto,1961,1961
Sede Tunja,LABORATORIO SOPLADO DE VIDRIO,50.50,Actividades docentes, administrativas e investigación,Cubierto,1983,1983
Sede Tunja,DEPOSITO REACTIVOS BIOLO. Y QUIMICA,103.06,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,GALPONES LABO. DE METALURGIA,1077.72,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Sede Tunja,BIBLIOTECA CENTRAL,4991.85,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,FACULTAD ESTUDIOS SUPERIORES A DISTANCIA - FESAD,1444.41,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,LABORATORIO DE BIOPLASMA (HOJA CADUCA),624.46,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,SEDE INSTITUTO DE INVESTIG. AGRARIAS - INIAG,210.13,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,CASA DEPOSITO DE REACTIVOS,60.00,Actividades docentes, administrativas e investigación,Cubierto,1986,1986
Sede Tunja,INVERNADERO DE BIOPLASMA,230.00,Actividades docentes, administrativas e investigación,Cubierto,1994,1994
Sede Tunja,CAFETIN ESTUDIANTES,225.95,Actividades deportivas,bienestar y otras,Cubierto,1990,1990
Sede Tunja,EDIFICIO INGENIERIA,908.00,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,SALON SOCIAL LA COLINA,166.00,Actividades docentes, administrativas e investigación,Cubierto,1978,1978
Sede Tunja,EDIFICACIÓN INCITEMA,515.64,Actividades docentes, administrativas e investigación,Cubierto,2012,2012
Sede Tunja,EDIFICIO RECURSOS EDUCATIVOS (ADMINISTRATIVO),8441.57,Actividades docentes, administrativas e investigación,Cubierto,2003,2003
Sede Tunja,CASETA BOMBA REGADIOS,4.00,Actividades docentes, administrativas e investigación,Cubierto,2015,2015
